city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
重庆,重庆,29.5500,106.5069,中国,CN,CHN,重庆,admin,12135000,1156936556
洛杉矶,洛杉矶,34.1141,-118.4068,美国,US,USA,加利福尼亚,,12121244,1840020491
保定,保定,38.8671,115.4845,中国,CN,CHN,河北,,11860000,1156256829
伦敦,伦敦,51.5072,-0.1275,英国,GB,GBR,伦敦,primary,11262000,1826645935
巴黎,巴黎,48.8567,2.3522,法国,FR,FRA,伦敦市,primary,11060000,1250015082
临沂,临沂,35.1041,118.3502,中国,CN,CHN,法兰西岛,,11018365,1156086320
东莞,东莞,23.0475,113.7493,中国,CN,CHN,山东,minor,10646000,1156478242
海得拉巴(Hei'de'la'ba),海得拉巴(Hei'de'la'ba),17.3850,78.4867,印度,IN,IND,广东,admin,10494000,1356871768
天津,天津,39.1467,117.2056,中国,CN,CHN,天津,admin,10368000,1156174046
利马(Limá),利马(Limá),-12.0600,-77.0375,秘鲁,PE,PER,利马,primary,10320000,1604728603
武汉,武汉,30.5872,114.2881,中国,CN,CHN,湖北,admin,10251000,1156117184
南阳(Nányáng),南阳(Nányáng),32.9987,112.5292,中国,CN,CHN,河南,,10013600,1156192287
杭州,杭州,30.2500,120.1675,中国,CN,CHN,浙江,admin,9523000,1156275243
佛山,佛山,23.0292,113.1056,中国,CN,CHN,广东,minor,9498863,1156738403
名古屋(Nagoya),名古屋(Nagoya),35.1833,136.9000,日本,JP,JPN,爱知,admin,9197000,1392407472
台北,台北,25.0375,121.5625,台湾,TW,TWN,台北,primary,9078000,1158881289
铜山(Tóngshān),铜山(Tóngshān),34.2610,117.1859,中国,CN,CHN,江苏,minor,9083790,1156241678
罗安达(Luándǎ),罗安达(Luándǎ),-8.8383,13.2344,安哥拉,AO,AGO,罗安达,primary,9051000,1024949724
周口,周口,33.6250,114.6418,中国,CN,CHN,河南,minor,9026015,1156272098
赣州,赣州,25.8292,114.9336,中国,CN,CHN,江西,minor,8970014,1156832475
吉隆坡,吉隆坡,3.1478,101.6953,马来西亚,MY,MYS,吉隆坡,primary,8911000,1458988644
菏泽,菏泽,35.2333,115.4333,中国,CN,CHN,山东,minor,8795939,1156225008
泉州,泉州,24.9139,118.5858,中国,CN,CHN,福建,minor,8782285,1156829655
芝加哥,芝加哥,41.8375,-87.6866,美国,US,USA,伊利诺伊,,8595181,1840000494
南京,南京,32.0608,118.7789,中国,CN,CHN,江苏,admin,8422000,1156644065
济宁,济宁,35.4000,116.5667,中国,CN,CHN,山东,,8357897,1156504601
河内,河内,21.0283,105.8542,越南,VN,VNM,河内,primary,8246600,1704413791
普纳( Puné ),普纳( Puné ),18.5203,73.8567,印度,IN,IND,马哈拉施特拉,,8231000,1356081074
阜阳,阜阳,32.8986,115.8045,中国,CN,CHN,安徽,,8200264,1156248008
艾哈迈达巴德,艾哈迈达巴德,23.0300,72.5800,印度,IN,IND,古吉拉特（Gujarāt）,minor,8009000,1356304381
约翰内斯堡,约翰内斯堡,-26.2044,28.0456,南非,ZA,ZAF,豪登（Gauteng）,admin,8000000,1710550792
波哥大,波哥大,4.7111,-74.0722,哥伦比亚,CO,COL,波哥大（Bogotá）,primary,7968095,1170483426
达累斯萨拉姆,达累斯萨拉姆,-6.8161,39.2803,坦桑尼亚,TZ,TZA,达累斯萨拉姆（Dar es Salaam）,primary,7962000,1834843853
沈阳,沈阳,41.8025,123.4281,中国,CN,CHN,辽宁,admin,7964000,1156309382
喀土穆,喀土穆,15.5006,32.5600,苏丹,SD,SDN,喀土穆（Khartoum）,primary,7869000,1729268475
商丘,商丘,34.4259,115.6467,中国,CN,CHN,河南,,7816831,1156805441
沧州,沧州,38.3037,116.8452,中国,CN,CHN,河北,,7544300,1156698069
香港,香港,22.3000,114.2000,香港,HK,HKG,,primary,7450000,1344982653
邵阳,邵阳,27.2418,111.4725,中国,CN,CHN,湖南,,7370500,1156310366
湛江,湛江,21.1967,110.4031,中国,CN,CHN,广东,minor,7332000,1156502170
盐城,盐城,33.3936,120.1339,中国,CN,CHN,江苏,minor,7260240,1156995410
衡阳,衡阳,26.8968,112.5857,中国,CN,CHN,湖南,,7243400,1156696884
利雅得,利雅得,24.6333,46.7167,沙特阿拉伯,SA,SAU,利雅得,primary,7237000,1682999334
驻马店,驻马店,32.9773,114.0253,中国,CN,CHN,河南,,7231234,1156184822
圣地亚哥,圣地亚哥,-33.4372,-70.6506,智利,CL,CHL,大都会区,primary,7171000,1152554349
邢台,邢台,37.0659,114.4753,中国,CN,CHN,河北,,7111106,1156294952
吉大港,吉大港,22.3350,91.8325,孟加拉国,BD,BGD,吉大港,admin,7000000,1050830722
毕节,毕节,27.3019,105.2863,中国,CN,CHN,贵州,,6899636,1156018927
上饶,上饶,28.4419,117.9633,中国,CN,CHN,江西,minor,6810700,1156405492
遵义,遵义,27.7050,106.9336,中国,CN,CHN,贵州,,6606675,1156539782
苏拉特（Sūlat）,苏拉特（Sūlat）,21.1702,72.8311,印度,IN,IND,古吉拉特（Gujarāt）,,6538000,1356758738
苏腊巴亚（Surabaya）,苏腊巴亚（Surabaya）,-7.2458,112.7378,印度尼西亚,ID,IDN,东爪哇（Jawa Timur）,admin,6499000,1360484663
黄冈,黄冈,30.4500,114.8750,中国,CN,CHN,湖北,minor,6333000,1156200037
茂名,茂名,21.6618,110.9178,中国,CN,CHN,广东,minor,6313200,1156568722
南充,南充,30.7991,106.0784,中国,CN,CHN,四川,minor,6278614,1156762337
信阳,信阳,32.1264,114.0672,中国,CN,CHN,河南,,6234401,1156273453
马德里,马德里,40.4169,-3.7033,西班牙,ES,ESP,马德里,primary,6211000,1724616994
巴格达,巴格达,33.3153,44.3661,伊拉克,IQ,IRQ,巴格达（Baghdād）,primary,6183000,1368596238
曲靖,曲靖,25.5102,103.8029,中国,CN,CHN,云南,,6155400,1156747998
揭阳,揭阳,23.5533,116.3649,中国,CN,CHN,广东,minor,6089400,1156260378
新加坡,新加坡,1.3000,103.8000,新加坡,SG,SGP,北方邦 (BeifangBang),primary,5983000,1702341327
普拉亚格拉杰,普拉亚格拉杰,25.4358,81.8464,印度,IN,IND,山东,,5954391,1356718332
聊城,聊城,36.4500,115.9833,中国,CN,CHN,辽宁,minor,5952128,1156006600
大连,大连,38.9000,121.6000,中国,CN,CHN,广西,,5871474,1156175472
玉林,玉林,22.6293,110.1507,中国,CN,CHN,湖南,minor,5849700,1156901312
常德,常德,29.0397,111.6839,中国,CN,CHN,山东 (Shandong),minor,5827200,1156449091
青岛,青岛,36.1167,120.4000,中国,CN,CHN,沿海,minor,5818255,1156112588
杜阿拉,杜阿拉,4.0500,9.7000,喀麦隆,CM,CMR,Littoral,admin,5768400,1120494607
迈阿密,迈阿密,25.7840,-80.2101,美国,US,USA,佛罗里达,,5711945,1840015149
南甘岛(ngan-dao),南甘岛(ngan-dao),35.2992,113.8851,中国,CN,CHN,河南,minor,5708191,1156127660
浦东,浦东,31.2231,121.5397,中国,CN,CHN,上海,minor,5681512,1156644508
襄阳,襄阳,32.0654,112.1531,中国,CN,CHN,湖北,minor,5680000,1156107325
达拉斯(dallas),达拉斯(dallas),32.7935,-96.7667,美国,US,USA,德克萨斯,,5668165,1840019440
休斯顿(houston),休斯顿(houston),29.7860,-95.3885,美国,US,USA,德克萨斯,,5650910,1840020925
郑州,郑州,34.7492,113.6605,中国,CN,CHN,河南,admin,5621593,1156183137
吕梁(lyu-liang),吕梁(lyu-liang),31.7542,116.5078,中国,CN,CHN,安徽,minor,5611701,1156499624
德州,德州,37.4513,116.3105,中国,CN,CHN,山东,minor,5611194,1156524080
济南,济南,36.6667,116.9833,中国,CN,CHN,山东,admin,5606374,1156972469
吉萨,吉萨,29.9870,31.2118,埃及,EG,EGY,吉萨,admin,5598402,1818925479
昭通,昭通,27.3328,103.7144,中国,CN,CHN,云南,,5591000,1156924687
宜春,宜春,27.8041,114.3830,中国,CN,CHN,江西,minor,5573200,1156229590
内罗毕,内罗毕,-1.2864,36.8172,肯尼亚,KE,KEN,内罗毕市,primary,5545000,1404000661
瓜达拉哈拉,瓜达拉哈拉,20.6767,-103.3475,墨西哥,MX,MEX,哈利斯科,admin,5525000,1484950208
费城,费城,40.0077,-75.1339,美国,US,USA,宾夕法尼亚,,5512873,1840000673
安卡拉,安卡拉,39.9300,32.8500,土耳其,TR,TUR,安卡拉,primary,5503985,1792572891
泰安,泰安,36.2001,117.0809,中国,CN,CHN,山东,,5494207,1156095188
达州,达州,31.2152,107.4947,中国,CN,CHN,四川,minor,5468097,1156834076
廊坊,廊坊,39.5196,116.7006,中国,CN,CHN,河北,,5464087,1156109017
an 永州,an 永州,26.4515,111.5953,中国,CN,CHN,湖南,,5452100,1156694479
多伦多,多伦多,43.7417,-79.3733,加拿大,CA,CAN,安大略,admin,5429524,1124279679
绥化,绥化,46.6384,126.9808,中国,CN,CHN,黑龙江,minor,5418153,1156235493
圣彼得堡,圣彼得堡,59.9500,30.3167,俄罗斯,RU,RUS,圣彼得堡,admin,5384342,1643616350
齐齐哈尔,齐齐哈尔,47.3398,123.9512,中国,CN,CHN,黑龙江,minor,5367003,1156775905
苏州,苏州,33.6333,116.9683,中国,CN,CHN,安徽,,5352924,1156871297
蒙特雷,蒙特雷,25.6667,-100.3000,墨西哥,MX,MEX,新莱昂,admin,5341171,1484559591
贝洛奥里藏特,贝洛奥里藏特,-19.9167,-43.9333,巴西,BR,BRA,米纳斯吉拉斯,admin,5328000,1076967355
渭南,渭南,34.4996,109.4684,中国,CN,CHN,陕西,minor,5286077,1156903687
仰光,仰光,16.7950,96.1600,缅甸,MM,MMR,仰光,primary,5209541,1104616656
漳州,漳州,24.5093,117.6612,中国,CN,CHN,福建,minor,5140000,1156241637
运城,运城,35.0304,110.9980,中国,CN,CHN,山西,,5134779,1156705644
咸阳,咸阳,34.3500,108.7167,中国,CN,CHN,陕西,minor,5096001,1156120117
桂林,桂林,25.2819,110.2864,中国,CN,CHN,广西,minor,5085500,1156235364
亚特兰大,亚特兰大,33.7628,-84.4220,美国,US,USA,格鲁吉亚,admin,5046555,1840013660
泰州,泰州,32.4831,119.9000,中国,CN,CHN,江苏,minor,5031000,1156119229
喀山(卡山),喀山(卡山),33.9833,51.4333,伊朗,IR,IRN,伊斯法罕,minor,5000000,1364006067
亳州,亳州,33.8626,115.7742,中国,CN,CHN,安徽,,4996844,1156356860
阿比让,阿比让,5.3167,-4.0333,科特迪瓦,CI,CIV,阿比让,primary,4980000,1384207980
宿迁,宿迁,33.9331,118.2831,中国,CN,CHN,江苏,,4986192,1156212349
怀化,怀化,27.5494,109.9592,中国,CN,CHN,湖南,,4979600,1156353465
吉安,吉安,27.1172,114.9793,中国,CN,CHN,江西,minor,4956600,1156278215
小干滩,小干滩,30.9273,113.9110,中国,CN,CHN,湖北,,4921000,1156002290
平顶山,平顶山,33.7350,113.2999,中国,CN,CHN,河南,,4904701,1156735124
九江,九江,29.7048,116.0021,中国,CN,CHN,江西,minor,4896800,1156206041
亚历山大(Alílexiándà),亚历山大(Alílexiándà),31.1975,29.8925,埃及,EG,EGY,亚历山大港(Al Iskandarīyah),admin,4870000,1818695837
绵阳,绵阳,31.4669,104.7385,中国,CN,CHN,四川,minor,4868243,1156417758
Mianyang (米兰),Mianyang (米兰),-33.8678,151.2100,澳大利亚,AU,AUS,新南威尔士州(New South Wales),admin,4840600,1036074917
黄龙寺(Huánglóngsì),黄龙寺(Huánglóngsì),34.7950,114.3450,中国,CN,CHN,河南,,4824016,1156198356
华盛顿(Washington),华盛顿(Washington),38.9047,-77.0163,美国,US,USA,哥伦比亚特区(District of Columbia),primary,4810669,1840006060
巴塞罗那,巴塞罗那,41.3825,2.1769,西班牙,ES,ESP,加泰罗尼亚,admin,4800000,1724594040
长沙,长沙,28.1987,112.9709,中国,CN,CHN,湖南,admin,4766296,1156961497
郴州,郴州,25.7989,113.0267,中国,CN,CHN,湖南,minor,4744500,1156291915
安庆,安庆,30.5000,117.0333,中国,CN,CHN,安徽,minor,4723000,1156238875
江门,江门,22.5833,113.0833,中国,CN,CHN,广东,minor,4630300,1156105613
新浦,新浦,34.5906,119.1801,中国,CN,CHN,江苏,minor,4599360,1156035381
宜宾,宜宾,28.7596,104.6400,中国,CN,CHN,四川,minor,4588804,1156107603
扬州,扬州,32.3912,119.4363,中国,CN,CHN,江苏,,4559797,1156818601
墨尔本,墨尔本,-37.8142,144.9631,澳大利亚,AU,AUS,维多利亚,admin,4529500,1036533631
柏林,柏林,52.5200,13.4050,德国,DE,DEU,柏林,primary,4473101,1276451290
衡水,衡水,37.7348,115.6860,中国,CN,CHN,河北,,4472000,1156803028
蒂姆比奥(Timbío),蒂姆比奥(Timbío),2.3445,-76.6839,哥伦比亚,CO,COL,考卡,minor,4444444,1170815311
昆明,昆明,25.0433,102.7061,中国,CN,CHN,云南,admin,4422686,1156477539
益阳,益阳,28.5833,112.3333,中国,CN,CHN,湖南,,4413800,1156218615
贵港,贵港,23.0961,109.6092,中国,CN,CHN,广西,minor,4409200,1156895251
长春,长春,43.9000,125.2000,中国,CN,CHN,吉林,admin,4408154,1156078103
江关卡尼(Jiangguanchi),江关卡尼(Jiangguanchi),34.0244,113.8201,中国,CN,CHN,河南,minor,4379998,1156235735
卡萨布兰卡,卡萨布兰卡,33.5333,-7.5833,摩洛哥,MA,MAR,卡萨布兰卡-塞塔特,admin,4370000,1504175315
梅州,梅州,24.2998,116.1191,中国,CN,CHN,广东,minor,4378800,1156361028
张家口,张家口,40.8108,114.8811,中国,CN,CHN,河北,minor,4345485,1156800221
赤峰,赤峰,42.2663,118.9223,中国,CN,CHN,内蒙古,minor,4341245,1156277458
乌鲁木齐,乌鲁木齐,43.8225,87.6125,中国,CN,CHN,新疆,admin,4335017,1156051276
苏州,苏州,31.3000,120.6194,中国,CN,CHN,江苏,minor,4330000,1156029196
伊兹密尔（Izmir）,伊兹密尔（Izmir）,38.4200,27.1400,土耳其,TR,TUR,伊兹密尔(?zmir),admin,4320519,1792725579
临汾,临汾,36.0812,111.5087,中国,CN,CHN,山西,,4316610,1156416074
汕头,汕头,23.3735,116.6941,中国,CN,CHN,广东,minor,4312192,1156457499
喀布尔,喀布尔,34.5253,69.1783,阿富汗,AF,AFG,喀布尔(Kābul),primary,4273156,1004993580
摩加迪沙（Mogadishu）,摩加迪沙（Mogadishu）,2.0392,45.3419,索马里,SO,SOM,班纳迪尔(Banaadir),primary,4249083,1706893395
泸州,泸州,28.8918,105.4409,中国,CN,CHN,四川,minor,4218427,1156582079
合肥,合肥,31.8639,117.2808,中国,CN,CHN,安徽,admin,4216940,1156332710
波士顿,波士顿,42.3188,-71.0852,美国,US,USA,马萨诸塞州,admin,4208580,1840000455
柳州,柳州,24.3264,109.4281,中国,CN,CHN,广西,minor,4157934,1156360785
肇庆,肇庆,23.0500,112.4667,中国,CN,CHN,广东,minor,4151700,1156170144
小西塔,小西塔,30.7083,111.2803,中国,CN,CHN,湖北,minor,4137900,1156764447
石家庄,石家庄,38.0422,114.5086,中国,CN,CHN,河北,admin,4098243,1156217541
宁波,宁波,29.8750,121.5492,中国,CN,CHN,浙江,minor,4087523,1156170787
福州,福州,27.9814,116.3577,中国,CN,CHN,江西,,4047200,1156915325
凤凰城,凤凰城,33.5722,-112.0892,美国,US,USA,亚利桑那州,admin,4047095,1840020568
株洲,株洲,27.8407,113.1469,中国,CN,CHN,湖南,minor,4020800,1156041962
安曼,安曼,31.9497,35.9328,约旦,JO,JOR,阿勒艾西马(Al ‘ā?imah),primary,4007526,1400522593
滁州,滁州,32.3062,118.3115,中国,CN,CHN,安徽,,3987054,1156036420
吉达（Jídá）,吉达（Jídá）,21.5433,39.1728,沙特阿拉伯,SA,SAU,Makkah al Mukarramah（麦加）,,3976000,1682926944
清远,清远,23.6842,113.0507,中国,CN,CHN,广东,minor,3969473,1156135890
醴陵,醴陵,27.7378,111.9974,中国,CN,CHN,湖南,,3931800,1156010654
滨州,滨州,37.3806,118.0125,中国,CN,CHN,山东,,3928568,1156564962
德阳,德阳,31.1289,104.3950,中国,CN,CHN,四川,minor,3877000,1156127147
太原,太原,37.8733,112.5425,中国,CN,CHN,山西,admin,3875053,1156632014
卡诺（Kǎnō）,卡诺（Kǎnō）,12.0000,8.5167,尼日利亚,NG,NGA,Kano（卡诺）,admin,3848885,1566422868
芜湖,芜湖,31.3340,118.3622,中国,CN,CHN,安徽,minor,3842100,1156315512
南宁,南宁,22.8192,108.3150,中国,CN,CHN,广西,admin,3837978,1156605439
哈尔滨,哈尔滨,45.7500,126.6333,中国,CN,CHN,黑龙江,admin,3830000,1156241528
阿布贾,阿布贾,9.0667,7.4833,尼日利亚,NG,NGA,联邦首都区,primary,3770000,1566342270
横滨,横滨,35.4442,139.6381,日本,JP,JPN,神奈川(Shiennai),admin,3757630,1392118339
包吉市,包吉市,34.3609,107.1751,中国,CN,CHN,陕西,,3738700,1156101096
枣庄,枣庄,34.8667,117.5500,中国,CN,CHN,山东,,3729140,1156796454
厦门,厦门,24.4797,118.0819,中国,CN,CHN,福建,minor,3707090,1156212809
内江,内江,29.5872,105.0635,中国,CN,CHN,四川,minor,3702847,1156516335
福州,福州,26.0769,119.2917,中国,CN,CHN,福建,admin,3671192,1156188037
白城,白城,23.9010,106.6194,中国,CN,CHN,广西,minor,3669400,1156981113
鞍山,鞍山,41.1066,122.9895,中国,CN,CHN,辽宁,,3645884,1156901825
", 棉兰",", 棉兰",3.5894,98.6739,印度尼西亚,ID,IDN,苏门答腊北省,admin,3632000,1360543171
玉林市,玉林市,38.2655,109.7388,中国,CN,CHN,陕西,,3634750,1156280672
温州,温州,27.9991,120.6561,中国,CN,CHN,浙江,,3604446,1156188829
常州,常州,31.8122,119.9692,中国,CN,CHN,江苏,minor,3601079,1156185511
濮阳,濮阳,35.7639,115.0300,中国,CN,CHN,河南,minor,3598740,1156431924
焦作,焦作,35.2290,113.2304,中国,CN,CHN,河南,,3590700,1156157854
南昌,南昌,28.6842,115.8872,中国,CN,CHN,江西,admin,3576547,1156198892
伊巴丹,伊巴丹,7.3964,3.9167,尼日利亚,NG,NGA,奥约,admin,3552000,1566366407
河池,河池,24.6928,108.0850,中国,CN,CHN,广西,minor,3545700,1156167204
底特律,底特律,42.3834,-83.1024,美国,US,USA,密歇根,,3522856,1840003971
蒙特利尔,蒙特利尔,45.5089,-73.5617,加拿大,CA,CAN,Quebec,,3519595,1124586170
釜山,釜山,35.1800,129.0750,韩国,KR,KOR,釜山,admin,3453198,1410601465
呼和浩特,呼和浩特,40.8151,111.6629,中国,CN,CHN,内蒙古,admin,3446100,1156210167
西雅图,西雅图,47.6211,-122.3244,美国,US,USA,华盛顿,,3438221,1840021117
阿尔及尔,阿尔及尔,36.7539,3.0589,阿尔及利亚,DZ,DZA,阿尔及尔,primary,3415811,1012973369
汉中,汉中,33.0794,107.0260,中国,CN,CHN,陕西,,3416196,1156382678
唐山,唐山,39.6292,118.1742,中国,CN,CHN,河北,,3399231,1156904299
十堰,十堰,32.6351,110.7755,中国,CN,CHN,湖北,minor,3398000,1156383921
勒克瑙,勒克瑙,26.8500,80.9500,印度,IN,IND,北方邦,admin,3382000,1356891790
四平,四平,43.1715,124.3644,中国,CN,CHN,吉林,minor,3385156,1156063295
Mashhad（马什哈德）,Mashhad（马什哈德）,36.3000,59.6000,伊朗,IR,IRN,uan 霍拉桑-拉扎维,admin,3372090,1364123206
Boankra（博安克拉）,Boankra（博安克拉）,6.6944,-1.4028,加纳,GH,GHA,阿散蒂,,3348000,1288164978
长治,长治,36.1953,113.0970,中国,CN,CHN,山西,minor,3334565,1156057944
Dubai（迪拜）,Dubai（迪拜）,25.2631,55.2972,阿拉伯联合酋长国,AE,ARE,迪拜,admin,3331420,1784736618
钦州,钦州,21.9500,108.6167,中国,CN,CHN,广西,minor,3304400,1156106602
贵阳,贵阳,26.5794,106.7078,中国,CN,CHN,贵州,admin,3299724,1156932620
滨湖,滨湖,32.9354,117.3531,中国,CN,CHN,安徽,,3296408,1156440668
San Francisco（旧金山）,San Francisco（旧金山）,37.7558,-122.4449,美国,US,USA,加利福尼亚,,3290197,1840021543
沙河,沙河,31.8576,106.7559,中国,CN,CHN,四川,minor,3283148,1156271365
秦城,秦城,34.5809,105.7311,中国,CN,CHN,甘肃,minor,3262549,1156104017
遂宁,遂宁,30.5098,105.5737,中国,CN,CHN,四川,minor,3252619,1156655650
无锡,无锡,31.5667,120.2833,中国,CN,CHN,江苏,minor,3245179,1156019650
乐山,乐山,29.5854,103.7575,中国,CN,CHN,四川,,3235759,1156203130
莆田,莆田,25.4394,119.0103,中国,CN,CHN,福建,minor,3210714,1156811601
镇江,镇江,32.2109,119.4551,中国,CN,CHN,江苏,minor,3210418,1156934125
费萨拉巴德（Faisalabad）,费萨拉巴德（Faisalabad）,31.4167,73.0911,巴基斯坦,PK,PAK,旁遮普（Punjab）,minor,3203846,1586323916
广安,广安,30.4673,106.6336,中国,CN,CHN,四川,minor,3205476,1156377302
铜仁,铜仁,27.7233,109.1885,中国,CN,CHN,贵州,,3168800,1156803442
圣克鲁斯（Santa Cruz）,圣克鲁斯（Santa Cruz）,-17.7892,-63.1975,玻利维亚,BO,BOL,圣克鲁斯（Santa Cruz）,admin,3151676,1068129363
秦皇岛,秦皇岛,39.9398,119.5881,中国,CN,CHN,河北,,3146300,1156091093
通辽,通辽,43.6172,122.2640,中国,CN,CHN,内蒙古,minor,3139153,1156358686
锦州,锦州,41.1144,121.1292,中国,CN,CHN,辽宁,,3126463,1156157151
河源,河源,23.7503,114.6923,中国,CN,CHN,广东,minor,3093900,1156665165
圣地亚哥,圣地亚哥,32.8313,-117.1222,美国,US,USA,加利福尼亚,,3084174,1840021990
斋浦尔,斋浦尔,26.9000,75.8000,印度,IN,IND,拉贾斯坦(拉贾斯坦),admin,3073350,1356293537
忻州,忻州,38.4178,112.7233,中国,CN,CHN,山西,minor,3067501,1156617534
兰州,兰州,36.0617,103.8318,中国,CN,CHN,甘肃,admin,3067141,1156280566
梧州,梧州,23.4833,111.3167,中国,CN,CHN,广西,minor,3061100,1156620133
雅典,雅典,37.9842,23.7281,希腊,GR,GRC,阿提卡(阿提卡),primary,3041131,1300715560
亚的斯亚贝巴,亚的斯亚贝巴,9.0300,38.7400,埃塞俄比亚,ET,ETH,亚的斯亚贝巴(亚的斯亚贝巴),primary,3041002,1231824991
朝阳,朝阳,41.5757,120.4486,中国,CN,CHN,辽宁,,3044641,1156706927
巴西利亚,巴西利亚,-15.7939,-47.8828,巴西,BR,BRA,墨西哥城联邦区,primary,3039444,1076144436
台中,台中,24.1439,120.6794,台湾,TW,TWN,台中,admin,3033885,1158689622
科威特城,科威特城,29.3697,47.9783,科威特,KW,KWT,阿西马(Al ‘ā?imah),primary,3000000,1414102075
布达佩斯,布达佩斯,47.4925,19.0514,匈牙利,HU,HUN,布达佩斯,primary,2997958,1348611435
韶关,韶关,24.8011,113.5927,中国,CN,CHN,广东,minor,2997600,1156617066
汕尾,汕尾,22.7664,115.3331,中国,CN,CHN,广东,minor,2993600,1156939010
奎松城,奎松城,14.6300,121.0300,菲律宾,PH,PHL,奎松(Quezon),admin,2960048,1608974097
日照,日照,35.4164,119.4331,中国,CN,CHN,山东,minor,2968365,1156032841
基辅,基辅,50.4500,30.5233,乌克兰,UA,UKR,基辅(Kyiv),primary,2963199,1804382913
萨那,萨那,15.3483,44.2064,也门,YE,YEM,阿曼纳特阿西马(āmānàt ā Xīmǎ),primary,2957000,1887750814
眉山,眉山,30.0575,103.8381,中国,CN,CHN,四川,,2950545,1156185501
仁川,仁川,37.4833,126.6333,韩国,KR,KOR,仁川(Inchōn),admin,2936117,1410160313
危地马拉城,危地马拉城,14.6099,-90.5252,危地马拉,GT,GTM,危地马拉,primary,2934841,1320197916
伯明翰,伯明翰,52.4800,-1.9025,英国,GB,GBR,伯明翰,,2919600,1826423213
中山,中山,22.5333,113.3500,中国,CN,CHN,广东,minor,2909633,1156579621
宁德,宁德,26.6617,119.5228,中国,CN,CHN,福建,minor,2910000,1156909802
威海,威海,37.5000,122.1000,中国,CN,CHN,山东,minor,2906548,1156473300
大庆,大庆,46.5979,125.0080,中国,CN,CHN,黑龙江,minor,2904532,1156403962
布尔萨(布尔萨),布尔萨(布尔萨),40.1833,29.0500,土耳其,TR,TUR,布尔萨(Bùěrsā),admin,2901396,1792903330
萨尔瓦多,萨尔瓦多,-12.9747,-38.4767,巴西,BR,BRA,巴伊亚,admin,2886698,1076923789
